Rollno,Marks,Gender,Age,PhD
1,140,1,47,Yes
2,30,0,65,Yes
3,35.1,0,56,No
4,30,1,23,No
5,80,0,,Yes
6,30,0,27,No
7,60,1,53,No
8,31.1,0,,No
9,125,1,44,Yes
10,51,1,63,Yes
11,3,1,22,No
12,46,1,59,No
13,150,1,60,Yes
14,3,1,28,No
15,130,1,65,No
16,15,0,,No
17,130,1,65,No
18,84,0,47,Yes
19,190,1,66,Yes
20,74,1,45,Yes
21,73,0,46,No
22,10,0,,No
23,50,0,60,No
24,7,0,63,No
25,9.5,0,27,No
26,15.2,1,66,Yes
27,28.6,1,36,Yes
28,20,0,,No
29,72,0,51,Yes
30,81,1,65,Yes
31,100,0,,Yes
32,90,0,52,Yes
33,90,0,54,Yes
34,35,1,30,No
35,30,0,52,No
36,25,1,,No
37,52,0,49,No
38,9,0,22,No
39,63,1,34,Yes
40,72,1,,No
41,16,1,28,No
42,92,0,58,Yes
43,106,1,77,Yes
44,2.5,1,67,No
45,9,0,27,
46,32,0,48,Yes
47,32,0,,No
48,55,1,49,
49,52,1,36,No
50,28,0,65,
51,20,0,32,
52,14.7,0,49,No
53,22.3,1,67,No
54,34.8,0,,No
55,84,0,49,Yes
56,19,1,43,No
57,160,1,61,Yes
58,65,0,43,Yes
59,55,0,,No
60,4.6,1,51,No
61,102,1,66,Yes
62,20,1,29,No
63,62,0,62,
64,55,1,,Yes
65,45.6,1,61,No
66,40,0,56,
67,24,0,41,No
68,35,1,24,No
69,48,0,60,No
70,20,0,43,
71,40.7,0,57,No
72,15,1,,No
73,0.25,0,53,No
74,152,1,71,
75,39.8,0,20,No
76,12,0,27,No
77,30,1,69,Yes
78,120,1,,Yes
79,1.7,1,37,
80,36,1,32,Yes
81,96,1,33,Yes
82,38,0,32,
83,90,1,60,No
84,9,1,,No
85,25.8,0,30,No
86,22,0,62,No
87,38.8,0,54,
88,72,1,42,Yes
89,89,1,62,No
90,41,0,,Yes
91,89,1,71,Yes
92,25,0,29,No
93,52,1,55,
94,115,0,54,No
95,66,0,55,Yes
96,18.6,1,26,No
97,152,1,56,Yes
98,1.8,1,28,No
99,35,0,44,
100,4,0,24,No
